name,place_id,latitude,longitude,address,rating
Westlands Veterinary Clinic,ChIJEUs1JPoXLxgRx8tgL46mpvg,1.2469296,37.6732734,"09mayfair maisonettes A2, Kenya",5
Regal veterinary surgeons,ChIJfY_C05IjLxgRgqcxGOC9B6M,-1.2087941,36.7878014,"Opp Brook Apartment, Limuru Rd, Ruaka, Kenya",4.9
ROYAL CREST VET CLINIC,ChIJFZROB4afLxgR1wDlVxUDAdA,-1.4984375,36.9548125,"GX23+JW, Kitengela, Kenya",4.3
Kenya Veterinary Association,ChIJoymHFRkRLxgRQfh-QOLsLWs,-1.3014109,36.837129,"Nairobi, Kenya",4.4
Vetcare Kenya,ChIJd0bczWwVLxgRbWKyF1rsaH4,-1.2433861,36.8815504,"Industrial Park, Babadogo Off Baba Dogo Rd Winsford, Nairobi, Kenya",5
Vetcare Africa,ChIJpWw4gcsVLxgRvN0Zx8sgKlI,-1.2454964,36.8834523,"Nairobi, Kenya",4.8
Oryx Vet. Supplies,ChIJb8hfBXFrLxgRWFSCy2APl1U,-1.2665668,36.9895958,"Ruai, Kangundo Rd, Kenya",4.3
Bemu Veterinary Supplies ltd,ChIJAbSG9o9OLxgRPpahsMRO5vQ,-1.0364176,37.0732299,"Macharia Building, Near Cascade Annex Hotel, Thika, Kenya",4.7
Kenya Veterinary Board,ChIJddjoBg8ZLxgRrn67G5-rm9U,-1.2596125,36.7246719,"PPRF+5V3, Nairobi, Kenya",4.2
Vet stop,ChIJiRTnVswcLxgRA0D8FC7k72Q,-1.3424266,36.6665402,"MM58+2JF, Ngong Rd, Ngong, Kenya",4.2
